Ukupan Rizik,Vremenski horizont,Ukupni trokovi,Drustvena korist,Realizovati?
Nizak,Kratak rok,Visoki,Niska,Ne
Visok,Srednji rok,Niski,Niska,Ne
Nizak,Dugi rok,Visoki,Visoka,Da
Visok,Kratak rok,Niski,Visoka,Da
Nizak,Srednji rok,Visoki,Niska,Ne
Visok,Dugi rok,Niski,Niska,Ne
Nizak,Kratak rok,Visoki,Visoka,Da
Visok,Srednji rok,Niski,Visoka,Da
Nizak,Dugi rok,Visoki,Niska,Ne
Visok,Kratak rok,Niski,Niska,Ne
Nizak,Srednji rok,Visoki,Visoka,Da
Visok,Dugi rok,Niski,Visoka,Ne
Nizak,Kratak rok,Visoki,Niska,Ne
Visok,Srednji rok,Niski,Niska,Ne
Nizak,Dugi rok,Visoki,Visoka,Da
