Dan u sedmici,Vremenski uslovi,Doba dana,Guzva u saobracaju
Ponedjeljak,Vedro,Prijepodne,Nema
Petak,Padavine,Uvece,Uobicajeno
Utorak,Padavine,Popodne,Velika
Cetvrtak,Vedro,Popodne,Nema
Subota,Vedro,Prijepodne,Uobicajeno
Nedjelja,Padavine,Popodne,Velika
Srijeda,Vedro,Uvece,Nema
Ponedjeljak,Vedro,Prijepodne,Uobicajeno
Petak,Padavine,Popodne,Velika
Nedjelja,Padavine,Uvece,Nema
Utorak,Padavine,Prijepodne,Uobicajeno
Subota,Vedro,Popodne,Velika
Cetvrtak,Vedro,Uvece,Nema
Ponedjeljak,Vedro,Prijepodne,Uobicajeno
Petak,Vedro,Popodne,Velika
Srijeda,Padavine,Popodne,Velika
Petak,Vedro,Popodne,Velika
